Date of publication,Title of vacancy,URL,Company,About vacancy
6 апреля,Python разработчик,https://saransk.hh.ru/vacancy/36318057?query=python,АО Семейный доктор,"Каждая клиника поддерживает приоритеты компании – высокий уровень медицинского обслуживания, соблюдение международных стандартов оказания услуг, чуткое отношение к пациентам и забота... Опыт коммерческой разработки от 3х лет. Уверенные знания Python 3.х + asyncio. Навыки работы с системами контроля версий..."
6 апреля,Разработчик на PYTHON,https://saransk.hh.ru/vacancy/35768680?query=python,ООО Бизнес Успех," Знание Python обязательно (от 2 лет). - Linux системы (опыт работы). - Желательно опыт работы с Amazon Services (EC2, S3..."
6 апреля,Программист Python,https://saransk.hh.ru/vacancy/36013732?query=python, Сбербанк для экспертов,"разработка сценариев/скриптов/диалогов для виртуальных ассистентов и чат-ботов. - формирование технических требований к функциональности виртуальных ассистентов и чат-ботов. -  знание языка программирования Python не ниже Junior. - техническая грамотность, внимательность к деталям. - умение читать техническую документацию и спецификации. - ""технический"" английский. - "
6 апреля,Python разработчик,https://saransk.hh.ru/vacancy/35620095?query=python, RU-CERT,Разработкой серверной части веб-приложений (REST API). Автоматизацией процессов обработки данных. Интеграцией модулей анализа вредоносной активности в распределенные системы.  Опыт работы в Linux/Unix. Знание git. Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами (nginx...
5 апреля,Программист Python,https://saransk.hh.ru/vacancy/36550975?query=python, Star-staff,"Вакансия Python разработчика в компанию, которая разрабатывает уникальную геоинформационную систему для работы с картами для физ. и юр. лиц.  Опыт разработки на Python с использованием фреймворков (в компании Django) и библиотек (json, xlwt, xlrd, djangorest framework, желательно pandas, NumPy..."
6 апреля,QA Automation Engineer (Python),https://saransk.hh.ru/vacancy/35419959?query=python, NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами... Понимание HTTP, навыки работы с HTTP API из Python и командной строки (wget, curl, httpie, jq). Знания Jenkins (Jenkins job..."
6 апреля,Senior Python Developer / Ведущий Python-разработчик,https://saransk.hh.ru/vacancy/36444270?query=python, ASD Technologies,"Работа со стеком технологий: Python 3.6, Pyramid, PostgreSQL, SQLAlchemy, Celery, Rabbitmq, Redis, Buildout, Rest API, немного JS (тех админка... Опыт удаленной работы. Опыт работы с нашим стеком (см выше), любыми Python фреймворками (Bottle, Django, Flask, Pyramid и т.п..."
6 апреля,Программист Python (Middle),https://saransk.hh.ru/vacancy/36279752?query=python,ООО Лендсбэй," Обязательные навыки: Опыт работы на соответствующей позиции от 2 лет. Уверенное знание Python 3.х, PostgreSQL, SQL, опыт работы с..."
6 апреля,Системный программист Python/Rust,https://saransk.hh.ru/vacancy/36311764?query=python, Group-IB,Разрабатывать новые модули для существующих проприетарных СЗИ. Разрабатывать ПО для решения внутренних задач аналитики и разработки. Интегрировать наши продукты с... Уверенное знание Python и Rust (опыт коммерческой разработки от 1 года на каждом языке). Опыт системного программирования от 1 года. 
5 апреля,Python разработчик,https://saransk.hh.ru/vacancy/36110182?query=python,АО СБК,Разработка ПО на вашем любимом языке python. Участие в разработке архитектурных решений для компонентов системы. Работа по методологии scrum (2... Знаете Django/Flask или подобный фреймворк. Работаете с БД PostgreSql. Пишете тесты. Имеете опыт создания REST API. Понимаете суть принципов...
